Language,Language code,Comparison,Macro-F1 difference (first minus second),95% confidence interval lower bound,95% confidence interval upper bound,Raw p-value,Holm-adjusted p-value,Significant after Holm correction (alpha=0.05),Evaluation split,Statistical test,Analysis scope
Yoruba,YOR,prompt_only vs neither,-0.0059,-0.0224,0.0104,0.4842,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Yoruba,YOR,config_only vs neither,-0.0278,-0.0437,-0.0119,0.0006,0.0168,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Yoruba,YOR,both vs neither,-0.0156,-0.0314,0.0001,0.0518,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Yoruba,YOR,both vs prompt_only,-0.0097,-0.0238,0.0041,0.1742,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Yoruba,YOR,both vs config_only,0.0123,-0.0025,0.0272,0.1052,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Emakhuwa,VMW,prompt_only vs neither,0.0029,-0.0254,0.0307,0.8518,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Emakhuwa,VMW,config_only vs neither,-0.0097,-0.0402,0.0207,0.5266,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Emakhuwa,VMW,both vs neither,0.027,-0.0017,0.0555,0.064,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Emakhuwa,VMW,both vs prompt_only,0.0242,-0.0006,0.0486,0.0552,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Emakhuwa,VMW,both vs config_only,0.0367,0.0112,0.0621,0.005,0.125,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Nigerian Pidgin,PCM,prompt_only vs neither,0.0343,0.0256,0.0427,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Nigerian Pidgin,PCM,config_only vs neither,0.0189,0.0111,0.0267,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Nigerian Pidgin,PCM,both vs neither,0.0387,0.0296,0.0477,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Nigerian Pidgin,PCM,both vs prompt_only,0.0045,-0.0023,0.011,0.19,1.0,False,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
Nigerian Pidgin,PCM,both vs config_only,0.0198,0.0111,0.0286,0.0,0.0,True,Test,Paired bootstrap; Holm correction applied,Internal Phase 4 CAST ablation
