Language code,Language,Evaluation track,Comparison,First transfer configuration,Second transfer configuration,First-condition macro-F1,Second-condition macro-F1,Macro-F1 difference (first minus second),95% confidence interval lower bound,95% confidence interval upper bound,Raw p-value,Higher-scoring condition,Holm-adjusted p-value,Significant after Holm correction (alpha=0.05),Evaluation split,Statistical test
RUS,Russian,Track C,C1 vs C3,C1,C3,0.7214831897862974,0.6314652863383131,0.09001790344798433,0.04665503517965268,0.13319738328024977,0.00039996000399960006,C1,0.014798520147985203,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
RUS,Russian,Track C,C2 vs C3,C2,C3,0.8278692414193519,0.6314652863383131,0.1964039550810388,0.16290849429968005,0.23194495822832753,0.00019998000199980003,C2,0.008399160083991601,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HAU,Hausa,Track A,C1 vs C2,C1,C2,0.6791548672585835,0.667648761133039,0.01150610612554459,-0.015527301275168909,0.039411662660676194,0.407959204079592,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
HAU,Hausa,Track C,C1 vs C2,C1,C2,0.30162733056337193,0.04798534798534799,0.25364198257802395,0.21811083527222272,0.2885465198485283,0.00019998000199980003,C1,0.008399160083991601,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
KIN,Kinyarwanda,Track A,C1 vs C2,C1,C2,0.3883057375515655,0.3799862528322897,0.008319484719275794,-0.02472749227092133,0.04234929690423233,0.6511348865113489,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
KIN,Kinyarwanda,Track A,C1 vs C3,C1,C3,0.3883057375515655,0.4048247995002978,-0.016519061948732316,-0.04615168424810666,0.014024536461403104,0.274972502749725,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
KIN,Kinyarwanda,Track A,C2 vs C3,C2,C3,0.3799862528322897,0.4048247995002978,-0.02483854666800811,-0.05165088291293936,0.0013650509330585421,0.062193780621937804,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
KIN,Kinyarwanda,Track C,C1 vs C2,C1,C2,0.14584317017867965,0.13673988167219622,0.009103288506483426,-0.03072828271719835,0.048466474464885986,0.6731326867313269,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
KIN,Kinyarwanda,Track C,C1 vs C3,C1,C3,0.14584317017867965,0.12626987392608527,0.01957329625259438,-0.022043808842862812,0.061402089766420365,0.35996400359964004,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
KIN,Kinyarwanda,Track C,C2 vs C3,C2,C3,0.13673988167219622,0.12626987392608527,0.010470007746110954,-0.016942203155507055,0.03787829785473609,0.45355464453554645,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
YOR,Yoruba,Track A,C1 vs C2,C1,C2,0.26932441391362527,0.28876370600098294,-0.019439292087357674,-0.06150497605993715,0.022666675681227263,0.3875612438756124,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
YOR,Yoruba,Track A,C1 vs C3,C1,C3,0.26932441391362527,0.2835262610431627,-0.014201847129537426,-0.05765934151128528,0.028773716090850814,0.5289471052894711,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
YOR,Yoruba,Track A,C2 vs C3,C2,C3,0.28876370600098294,0.2835262610431627,0.0052374449578202475,-0.03226291331146598,0.04213930505184267,0.7961203879612039,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
YOR,Yoruba,Track C,C1 vs C2,C1,C2,0.1550774299702175,0.10517391872939046,0.04990351124082705,0.017798860526786454,0.08171984219937992,0.0017998200179982,C1,0.059394060593940604,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
VMW,Emakhuwa,Track A,C1 vs C2,C1,C2,0.18699682241398152,0.20378547378547382,-0.016788651371492297,-0.07000840429742175,0.03622044445166914,0.5265473452654734,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
VMW,Emakhuwa,Track A,C1 vs C3,C1,C3,0.18699682241398152,0.18170423420509754,0.00529258820888398,-0.04689409288654586,0.05868579718028815,0.8423157684231577,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
VMW,Emakhuwa,Track A,C2 vs C3,C2,C3,0.20378547378547382,0.18170423420509754,0.022081239580376277,-0.02836414490806581,0.07293273088705994,0.3885611438856114,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
VMW,Emakhuwa,Track C,C1 vs C2,C1,C2,0.09549695624964442,0.07562927337252161,0.019867682877122816,-0.01861872666052193,0.058111582053680264,0.31796820317968205,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
VMW,Emakhuwa,Track C,C1 vs C3,C1,C3,0.09549695624964442,0.07969348659003832,0.015803469659606106,-0.026871549785159786,0.05780688353683798,0.4737526247375263,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
VMW,Emakhuwa,Track C,C2 vs C3,C2,C3,0.07562927337252161,0.07969348659003832,-0.00406421321751671,-0.0424834685747151,0.03518990219071565,0.8497150284971503,C3,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
PCM,Nigerian Pidgin,Track A,C1 vs C2,C1,C2,0.535029382714857,0.5708488432139879,-0.03581946049913087,-0.05596857060115429,-0.016271247555894926,0.0007999200079992001,C2,0.027197280271972803,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
PCM,Nigerian Pidgin,Track A,C1 vs C3,C1,C3,0.535029382714857,0.5293030596032346,0.005726323111622356,-0.014868988070235772,0.02748785716337595,0.5767423257674232,C1,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
PCM,Nigerian Pidgin,Track A,C2 vs C3,C2,C3,0.5708488432139879,0.5293030596032346,0.04154578361075323,0.021298782401818254,0.06323326119349042,0.00039996000399960006,C2,0.014798520147985203,True,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
PCM,Nigerian Pidgin,Track C,C1 vs C2,C1,C2,0.3662469884954393,0.34916045824574465,0.017086530249694643,0.003442825418045163,0.030562092404315053,0.013598640135986401,C1,0.407959204079592,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
PCM,Nigerian Pidgin,Track C,C1 vs C3,C1,C3,0.3662469884954393,0.34576866567382786,0.02047832282161144,0.004687614257611004,0.03612160238234372,0.010998900109989001,C1,0.34096590340965904,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
PCM,Nigerian Pidgin,Track C,C2 vs C3,C2,C3,0.34916045824574465,0.34576866567382786,0.0033917925719167963,-0.013417768858790008,0.020310271042686782,0.6827317268273173,C2,1.0,False,Validation,Paired bootstrap; Holm correction applied within the stated comparison family
