Evaluation track,Language code,Language,Resource tier,System,Number of evaluated emotions,Anger F1,Fear F1,Joy F1,Sadness F1,Surprise F1,Macro-F1,Disgust F1,Published best macro-F1 for the same track,Gap to same-track published best (system minus published),Published benchmark source
Track C,SUN,Sundanese,2,B3-Gemma4-31B,6,0.6875,0.5882,0.8897,0.8395,0.443,0.6516,0.4615,0.467,0.1846,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,YOR,Yoruba,3,B1-Majority,6,0.1227,0.0532,0.1674,0.4359,0.1572,0.1647,0.0519,0.359,-0.1943,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,YOR,Yoruba,3,B2-XLM-R,6,0.0968,0.029,0.1081,0.2196,0.0939,0.0912,0.0,0.359,-0.2678,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,YOR,Yoruba,3,B3-Gemma4-31B,6,0.3096,0.3333,0.3088,0.5584,0.2614,0.3479,0.3158,0.359,-0.0111,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,VMW,Emakhuwa,3,B1-Majority,6,0.1095,0.1322,0.2281,0.3035,0.1209,0.1626,0.0815,0.21,-0.0474,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,VMW,Emakhuwa,3,B2-XLM-R,6,0.0,0.0345,0.0339,0.1958,0.0,0.044,0.0,0.21,-0.166,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,VMW,Emakhuwa,3,B3-Gemma4-31B,6,0.0,0.087,0.0,0.0385,0.0,0.0209,0.0,0.21,-0.1891,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,PCM,Nigerian Pidgin,3,B1-Majority,6,0.1649,0.1985,0.2661,0.4213,0.4173,0.3566,0.6719,0.674,-0.3174,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,PCM,Nigerian Pidgin,3,B2-XLM-R,6,0.2848,0.326,0.5527,0.4889,0.4228,0.3487,0.0167,0.674,-0.3253,"SemEval-2025 Task 11, Table 7 (Track C)"
Track C,PCM,Nigerian Pidgin,3,B3-Gemma4-31B,6,0.2897,0.5083,0.6857,0.6656,0.4547,0.5199,0.5154,0.674,-0.1541,"SemEval-2025 Task 11, Table 7 (Track C)"
